period,hotspot_a,belief_a,n,a,test_intensity,s,psi,support,quota_wedge,signal_accuracy,natural_entry,quota_gap
80,0,0.24914188307222457,1.0,0.0,0.0,0.375,0.35199923234993297,0.35199923234993297,0.0,0.5390844171540782,0.619216164762131,0.0
81,0,0.3148487233002966,1.0,0.0,0.0,0.375,0.36116304062650934,0.36116304062650934,0.0,0.5390844171540782,0.6073356094787159,0.0
82,1,0.31694086855479303,1.0,0.0,0.0,0.375,0.36116304062650934,0.36116304062650934,0.0,0.5390844171540782,0.6073356094787159,0.0
83,1,0.3754981158635604,1.0,0.30000000000000004,0.8400000000000001,0.375,0.38104276157061934,0.38104276157061934,0.0,0.6833611216184847,0.5811375867420083,0.0
84,1,0.5544102428025584,1.0,0.55,0.99,0.375,0.38746646246403815,0.38746646246403815,0.0,0.7031787448774502,0.5725451350008264,0.0
85,0,0.7072118381554398,1.0,1.0,0.0,0.375,0.3575071946373417,0.3575071946373417,0.0,0.5390844171540782,0.612089874981983,0.0
86,0,0.7003969907994353,1.0,1.0,0.0,0.375,0.3593367248462667,0.3593367248462667,0.0,0.5390844171540782,0.6097130842797758,0.0
87,0,0.6398851060482429,1.0,0.7000000000000001,0.8399999999999999,0.375,0.3803265321115691,0.3803265321115691,0.0,0.6833611216184847,0.5820917321662376,0.0
88,0,0.7462609592497959,1.0,1.0,0.0,0.375,0.35199923234993297,0.35199923234993297,0.0,0.5390844171540782,0.619216164762131,0.0
89,0,0.6809966414855522,1.0,0.8500000000000001,0.5099999999999998,0.375,0.37060839234764176,0.37060839234764176,0.0,0.6339807835168263,0.5949616256184544,0.0
90,0,0.5437356957493302,1.0,0.55,0.99,0.375,0.38764432600662674,0.38764432600662674,0.0,0.7031787448774502,0.5723063230360164,0.0
91,0,0.36113181706924635,1.0,0.30000000000000004,0.8400000000000001,0.375,0.3803265321115691,0.3803265321115691,0.0,0.6833611216184847,0.5820917321662376,0.0
92,0,0.2543475979620053,1.0,0.0,0.0,0.375,0.35199923234993297,0.35199923234993297,0.0,0.5390844171540782,0.619216164762131,0.0
93,0,0.3195528705250809,1.0,0.15000000000000002,0.51,0.375,0.37060839234764176,0.37060839234764176,0.0,0.6339807835168263,0.5949616256184544,0.0
94,0,0.4567895706372421,1.0,0.45,0.9900000000000001,0.375,0.38764432600662674,0.38764432600662674,0.0,0.7031787448774502,0.5723063230360164,0.0
95,0,0.30005472447973647,1.0,0.0,0.0,0.375,0.3593367248462667,0.3593367248462667,0.0,0.5390844171540782,0.6097130842797758,0.0
96,1,0.36051677590765335,1.0,0.30000000000000004,0.8400000000000001,0.375,0.3803265321115691,0.3803265321115691,0.0,0.6833611216184847,0.5820917321662376,0.0
97,1,0.5410577758440979,1.0,0.55,0.99,0.375,0.38764432600662674,0.38764432600662674,0.0,0.7031787448774502,0.5723063230360164,0.0
98,0,0.698533943290642,1.0,1.0,0.0,0.375,0.3593367248462667,0.3593367248462667,0.0,0.5390844171540782,0.6097130842797758,0.0
99,0,0.6382279677635277,1.0,0.7000000000000001,0.8399999999999999,0.375,0.3803265321115691,0.3803265321115691,0.0,0.6833611216184847,0.5820917321662376,0.0
